date,id,episode,episodes_on_id,kind,severity,basis,severity_end,basis_end,first_tick,last_tick,n_ticks,lifetime_min,impact_leg,impact_leg_first,n_legs,self_scored,has_plans,late_min,quality,scorable,late_15,impact_trip,mut_kind,mut_severity,mut_basis,mut_impact_leg,mut_n_legs,mut_impact_at
2026-08-15,late_cascade:32869,1,1,late_cascade,critical,clock_only,critical,clock_only,09:48,09:48,1,0,32869,32869,1,1,0,5.3,ok,1,0,return,0,0,0,0,0,0
2026-08-15,unassigned:27069,2,2,unassigned,critical,clock_only,critical,clock_only,09:48,10:12,9,24,27069,27069,1,1,1,,none,0,,return,0,0,0,0,0,0
2026-08-15,late_cascade:28075,1,1,late_cascade,critical,clock_only,critical,clock_only,10:24,10:57,12,33,32765,33383,3,0,1,-1.3,ok,1,0,arrival,0,0,0,1,1,0
2026-08-15,late_cascade:19202,1,1,late_cascade,critical,clock_only,critical,clock_only,10:33,11:12,14,39,31318,19202,4,0,1,50.4,ok,1,1,arrival,0,0,0,2,2,1
2026-08-15,late_cascade:28638,1,1,late_cascade,critical,clock_only,critical,clock_only,10:33,10:48,6,15,34835,21610,3,0,1,-6.5,ok,1,0,other,0,0,0,2,1,0
2026-08-15,overlap:28638:29716,1,1,overlap,critical,recorded_pickup,critical,recorded_pickup,10:51,11:12,8,21,29716,29716,2,0,1,27.2,ok,1,1,arrival,0,0,0,0,0,0
2026-08-15,overlap:28075:33383,1,1,overlap,critical,recorded_pickup,critical,recorded_pickup,11:00,11:06,3,6,33383,33383,2,0,1,7.3,ok,1,0,cruise,0,0,0,0,0,0
2026-08-15,overlap:29035:24359,1,1,overlap,critical,clock_only,critical,recorded_pickup,11:00,14:42,75,222,24359,24359,2,0,1,3.5,ok,1,0,arrival,0,0,1,0,0,1
2026-08-15,overrun:28638,1,1,overrun,critical,recorded_pickup,warning,recorded_pickup,11:03,11:24,8,21,28638,34835,1,1,1,1.7,ok,1,0,other,0,1,0,1,1,1
2026-08-15,flight_change:34100,1,1,flight_change,critical,flight,critical,flight,11:30,15:21,78,231,34876,34876,2,0,1,-24.0,ok,1,0,return,0,0,0,0,0,0
2026-08-15,overlap:33383:27999,1,1,overlap,warning,recorded_pickup,warning,recorded_pickup,11:42,13:57,46,135,27999,27999,2,0,1,0.1,ok,1,0,return,0,0,0,0,0,0
2026-08-15,late_cascade:30829,1,1,late_cascade,watch,clock_only,watch,clock_only,11:54,11:54,1,0,30829,30829,1,1,0,5.6,ok,1,0,arrival,0,0,0,0,0,0
2026-08-15,flight_change:33301,1,1,flight_change,critical,flight,critical,flight,11:57,13:27,31,90,23984,23984,2,0,1,-12.7,ok,1,0,arrival,0,0,0,0,0,0
2026-08-15,overlap:30829:26966,1,1,overlap,critical,recorded_pickup,critical,recorded_pickup,11:57,12:21,9,24,26966,26966,2,0,1,-16.3,ok,1,0,return,0,0,0,0,0,0
2026-08-15,overlap:33912:26425,1,1,overlap,critical,clock_only,critical,clock_only,12:00,12:57,20,57,26425,26425,2,0,1,,none,0,,return,0,0,0,0,0,0
2026-08-15,flight_change:31318,1,1,flight_change,critical,flight,critical,flight,12:03,13:03,21,60,30510,30510,2,0,1,-7.8,ok,1,0,return,0,0,0,0,0,0
2026-08-15,late_cascade:26425,1,1,late_cascade,critical,clock_only,critical,clock_only,13:15,13:18,2,3,31349,31349,2,0,1,,none,0,,arrival,0,0,0,0,0,1
2026-08-15,overlap:21610:34533,1,1,overlap,critical,recorded_pickup,critical,recorded_pickup,13:18,13:57,14,39,34533,34533,2,0,1,-4.8,ok,1,0,return,0,0,0,0,0,0
2026-08-15,flight_change:23984,2,2,flight_change,critical,flight,critical,flight,13:33,15:15,35,102,22898,21065,2,0,1,3.8,ok,1,0,arrival,0,0,0,1,0,1
2026-08-15,overrun:34835,1,1,overrun,warning,recorded_pickup,warning,recorded_pickup,13:48,13:57,4,9,34835,34835,1,1,0,-6.5,ok,1,0,other,0,0,0,0,0,0
2026-08-15,late_cascade:27556,1,1,late_cascade,critical,clock_only,critical,clock_only,14:03,14:45,15,42,28938,27556,2,0,1,29.5,ok,1,1,arrival,0,0,0,1,1,2
2026-08-15,late_cascade:31318,1,1,late_cascade,critical,clock_only,critical,clock_only,14:06,14:15,4,9,31318,31318,1,1,0,50.4,ok,1,1,arrival,0,0,0,0,0,0
