date,tick,estimates,ms,cards,error
2026-07-27,06:15,masked,130,5,
2026-07-27,06:00,masked,130,5,
2026-07-28,23:00,live,27,0,
2026-07-28,22:45,live,22,0,
2026-07-28,22:30,live,22,0,
2026-07-28,22:15,live,22,0,
2026-07-28,22:00,live,21,0,
2026-07-28,21:45,live,45,0,
2026-07-28,21:30,live,22,0,
2026-07-28,21:15,live,22,0,
2026-07-28,21:00,live,22,0,
2026-07-28,20:45,live,22,0,
2026-07-28,20:30,live,22,0,
2026-07-28,20:15,live,22,0,
2026-07-28,20:00,live,22,0,
2026-07-28,19:45,live,22,0,
2026-07-28,19:30,live,45,0,
2026-07-28,19:15,live,22,0,
2026-07-28,19:00,live,22,0,
2026-07-28,18:45,live,22,0,
2026-07-28,18:30,live,23,0,
2026-07-28,18:15,live,23,1,
2026-07-28,18:00,live,23,1,
2026-07-28,17:45,live,22,1,
2026-07-28,17:30,live,23,0,
2026-07-28,17:15,live,44,0,
2026-07-28,17:00,live,22,0,
2026-07-28,16:45,live,22,0,
2026-07-28,16:30,live,22,0,
2026-07-28,16:15,live,22,0,
2026-07-28,16:00,live,23,0,
2026-07-28,15:45,live,22,0,
2026-07-28,15:30,live,22,0,
2026-07-28,15:15,live,22,1,
2026-07-28,15:00,live,45,1,
2026-07-28,14:45,live,23,1,
2026-07-28,14:30,live,24,2,
2026-07-28,14:15,live,24,2,
2026-07-28,14:00,live,24,3,
2026-07-28,13:45,live,27,3,
2026-07-28,13:30,live,26,3,
2026-07-28,13:15,live,25,2,
2026-07-28,13:00,live,23,1,
2026-07-28,12:45,live,45,1,
2026-07-28,12:30,live,24,1,
2026-07-28,12:15,live,23,1,
2026-07-28,12:00,live,23,1,
2026-07-28,11:45,live,24,2,
2026-07-28,11:30,live,24,2,
2026-07-28,11:15,live,23,2,
2026-07-28,11:00,live,31,3,
2026-07-28,10:45,live,26,2,
2026-07-28,10:30,live,45,1,
2026-07-28,10:15,live,24,1,
2026-07-28,10:00,live,23,1,
2026-07-28,09:45,live,23,1,
2026-07-28,09:30,live,28,2,
2026-07-28,09:15,live,26,2,
2026-07-28,09:00,live,24,1,
2026-07-28,08:45,live,23,1,
2026-07-28,08:30,live,24,1,
2026-07-28,08:15,live,24,1,
2026-07-28,08:00,live,44,1,
2026-07-28,07:45,live,23,1,
2026-07-28,07:30,live,84,2,
2026-07-28,07:15,live,80,2,
2026-07-28,07:00,live,83,2,
2026-07-28,06:45,live,89,2,
2026-07-28,06:30,live,81,2,
2026-07-28,06:15,live,80,2,
2026-07-28,06:00,live,80,2,
2026-07-28,23:00,masked,43,0,
2026-07-28,22:45,masked,22,0,
2026-07-28,22:30,masked,22,0,
2026-07-28,22:15,masked,22,0,
2026-07-28,22:00,masked,22,0,
2026-07-28,21:45,masked,21,0,
2026-07-28,21:30,masked,21,0,
2026-07-28,21:15,masked,22,0,
2026-07-28,21:00,masked,43,0,
2026-07-28,20:45,masked,22,0,
2026-07-28,20:30,masked,23,0,
2026-07-28,20:15,masked,22,0,
2026-07-28,20:00,masked,22,0,
2026-07-28,19:45,masked,22,0,
2026-07-28,19:30,masked,22,0,
2026-07-28,19:15,masked,22,0,
2026-07-28,19:00,masked,22,0,
2026-07-28,18:45,masked,45,0,
2026-07-28,18:30,masked,22,0,
2026-07-28,18:15,masked,22,1,
2026-07-28,18:00,masked,22,1,
2026-07-28,17:45,masked,22,1,
2026-07-28,17:30,masked,22,0,
2026-07-28,17:15,masked,23,0,
2026-07-28,17:00,masked,22,0,
2026-07-28,16:45,masked,22,0,
2026-07-28,16:30,masked,44,0,
2026-07-28,16:15,masked,23,0,
2026-07-28,16:00,masked,22,0,
2026-07-28,15:45,masked,23,0,
2026-07-28,15:30,masked,22,0,
2026-07-28,15:15,masked,23,1,
2026-07-28,15:00,masked,23,1,
2026-07-28,14:45,masked,23,1,
2026-07-28,14:30,masked,24,2,
2026-07-28,14:15,masked,46,2,
2026-07-28,14:00,masked,24,3,
2026-07-28,13:45,masked,26,3,
2026-07-28,13:30,masked,26,3,
2026-07-28,13:15,masked,25,2,
2026-07-28,13:00,masked,23,1,
2026-07-28,12:45,masked,23,1,
2026-07-28,12:30,masked,23,1,
2026-07-28,12:15,masked,23,1,
2026-07-28,12:00,masked,45,1,
2026-07-28,11:45,masked,24,2,
2026-07-28,11:30,masked,23,2,
2026-07-28,11:15,masked,24,2,
2026-07-28,11:00,masked,28,3,
2026-07-28,10:45,masked,26,2,
2026-07-28,10:30,masked,25,1,
2026-07-28,10:15,masked,23,1,
2026-07-28,10:00,masked,23,1,
2026-07-28,09:45,masked,45,1,
2026-07-28,09:30,masked,26,2,
2026-07-28,09:15,masked,26,2,
2026-07-28,09:00,masked,24,1,
2026-07-28,08:45,masked,23,1,
2026-07-28,08:30,masked,24,1,
2026-07-28,08:15,masked,23,1,
2026-07-28,08:00,masked,23,1,
2026-07-28,07:45,masked,23,1,
2026-07-28,07:30,masked,80,2,
2026-07-28,07:15,masked,102,2,
2026-07-28,07:00,masked,81,2,
2026-07-28,06:45,masked,84,3,
2026-07-28,06:30,masked,85,3,
2026-07-28,06:15,masked,84,3,
