trip_type,pickup_cat,dropoff_cat,tod,day_type,sample_count,p75_total,p90_total,last_calculated
other,Disney Resort,Other,night,weekend,2,,,2026-05-23 18:33:37
other,Other Hotel,Disney Resort,midday,weekend,2,,,2026-07-31 20:25:26
other,Other,Disney Resort,evening,weekend,2,,,2026-05-23 18:33:37
arrival,MCO Terminal,Disney Resort,morning_rush,holiday,2,,,2026-02-10 22:31:26
return,Disney Resort,SFB Terminal,midday,holiday,2,,,2026-02-10 22:31:26
other,Other,Disney Resort,afternoon,weekday,2,,,2026-07-31 20:25:27
arrival,MCO Terminal,Residential,midday,weekday,2,,,2026-07-31 20:25:25
return,Residential,MCO Terminal,early_morning,weekend,2,,,2026-07-31 20:25:26
other,Disney Resort,Disney Resort,midday,weekend,2,,,2026-08-15 15:52:03
cruise,Port Canaveral Area,MCO Terminal,early_morning,weekend,2,,,2026-07-31 20:25:27
return,Disney Resort,SFB Terminal,evening,weekday,2,,,2026-07-31 20:25:28
arrival,MCO Terminal,Other,morning_rush,weekday,2,,,2026-05-23 18:33:37
return,Other,MCO Terminal,evening,weekday,2,,,2026-05-23 18:33:37
other,Disney Resort,Other Hotel,evening,weekday,2,,,2026-07-31 20:25:28
arrival,MCO Terminal,Port Canaveral Area,evening,weekday,2,,,2026-07-31 20:25:27
arrival,Airport Hotel,Disney Resort,midday,weekend,2,,,2026-02-13 17:50:14
other,Disney Resort,Universal Resort,evening,weekend,2,,,2026-07-31 20:25:25
other,MCO Terminal,Other Hotel,morning_rush,weekday,2,,,2026-02-13 17:50:15
other,Other Hotel,Other,morning_rush,weekday,2,,,2026-05-23 18:33:38
arrival,MCO Terminal,Port Canaveral Area,morning_rush,weekend,2,,,2026-07-31 20:25:27
return,Residential,MCO Terminal,midday,weekend,2,,,2026-07-31 20:25:27
other,Universal Resort,Universal Resort,morning_rush,weekday,2,,,2026-07-31 20:25:24
other,Disney Resort,Universal Resort,night,weekday,2,,,2026-07-31 20:25:24
cruise,Port Canaveral Area,MCO Terminal,early_morning,weekday,2,,,2026-02-16 00:34:18
other,Disney Resort,Airport Hotel,afternoon,weekend,2,,,2026-07-31 20:25:24
other,Disney Resort,Universal Resort,early_morning,weekday,2,,,2026-05-23 18:33:32
other,Disney Resort,Other Hotel,midday,weekday,2,,,2026-07-31 20:25:25
other,Disney Resort,Airport Hotel,night,weekday,2,,,2026-07-31 20:25:25
return,Other,MCO Terminal,midday,weekend,2,,,2026-05-23 18:33:34
other,Residential,Disney Resort,midday,weekday,2,,,2026-07-31 20:25:26
other,Disney Resort,Other Hotel,afternoon,weekday,2,,,2026-07-31 20:25:25
return,Other Hotel,MCO Terminal,midday,weekend,2,,,2026-07-31 20:25:26
return,Universal Resort,MCO Terminal,night,weekend,2,,,2026-07-31 20:25:25
other,Residential,Disney Resort,morning_rush,weekday,2,,,2026-07-31 20:25:25
other,Disney Resort,Residential,afternoon,weekday,2,,,2026-07-31 20:25:27
other,Disney Resort,SFB Terminal,afternoon,weekday,2,,,2026-05-23 18:33:33
return,Other,MCO Terminal,midday,weekday,2,,,2026-07-31 20:25:27
other,Disney Resort,Universal Resort,afternoon,weekend,2,,,2026-07-31 20:25:26
other,Disney Resort,Other,evening,weekday,2,,,2026-05-23 18:33:35
cruise,SFB Terminal,Port Canaveral Area,afternoon,weekday,2,,,2026-07-31 20:25:26
other,Disney Resort,Airport Hotel,evening,weekend,2,,,2026-07-31 20:25:26
other,Disney Resort,Universal Resort,midday,weekend,2,,,2026-07-31 20:25:26
other,Disney Resort,Other Hotel,night,weekday,2,,,2026-05-23 18:33:37
other,Airport Hotel,Disney Resort,midday,weekday,2,,,2026-07-31 20:25:26
arrival,MCO Terminal,Airport Hotel,evening,weekend,2,,,2026-07-31 20:25:27
other,Residential,Universal Resort,morning_rush,weekday,2,,,2026-07-31 20:25:27
return,Residential,MCO Terminal,morning_rush,weekend,2,,,2026-07-31 20:25:27
other,Disney Resort,Disney Resort,evening,weekday,2,,,2026-07-31 20:25:27
other,Disney Resort,Disney Resort,morning_rush,weekend,2,,,2026-07-31 20:25:26
other,Other Hotel,Universal Resort,morning_rush,weekend,2,,,2026-05-23 18:33:41
other,Disney Resort,Residential,afternoon,weekend,2,,,2026-05-23 18:33:41
other,Disney Resort,Airport Hotel,evening,weekday,2,,,2026-07-31 20:25:25
cruise,Port Canaveral Area,Airport Hotel,midday,weekday,2,,,2026-07-31 20:25:27
other,Disney Resort,Airport Hotel,afternoon,weekday,2,,,2026-07-31 20:25:28
other,Airport Hotel,Disney Resort,early_morning,weekday,2,,,2026-07-31 20:25:28
cruise,Port Canaveral Area,Disney Resort,midday,weekend,2,,,2026-07-31 20:25:28
other,MCO Terminal,Other Hotel,afternoon,weekday,1,,,2026-02-13 17:50:11
arrival,Other,Universal Resort,night,weekday,1,,,2026-02-13 17:50:15
cruise,Residential,Port Canaveral Area,midday,weekend,1,,,2026-05-23 18:33:36
